crisis,avg_value,sd_value,avg_return,sd_return,avg_volatility,n
Non-Crisis,1557.44540601931,322.7264678995472,.041515004,1.0032403,,1761
Crisis (2008-2009),1084.31295049505,208.5791390571191,-.030423811,2.1950402,,505
